sweep,cell,regime,concentration,floor_regime,contention,seed,policy,utility_family,task_workload_hash,scenario_hash,agent,archetype,priority,completion,zero_completion,mandatory_failures,quality,backend_calls,blocked_calls,allocated,charged,min_bound,upper_bound,any_used_at_lower_bound,all_used_above_lower_bound,alloc_distance_from_equal,completion_minus_equal,latent_probs
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,equal,none,602ca651a80c6f94,a39c1f9836e12e4d,a0,code_review+doc_processing+monitoring+research,1.0,0.75,False,2,0.54375,11,8,"{""COMPUTE"": 105, ""MEMORY"": 89, ""DATASET"": 16, ""API_CREDITS"": 49}","{""COMPUTE"": 94, ""MEMORY"": 78, ""DATASET"": 16, ""API_CREDITS"": 46}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 242, ""MEMORY"": 196, ""API_CREDITS"": 128, ""DATASET"": 16}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,equal,none,602ca651a80c6f94,a39c1f9836e12e4d,a1,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.44375000000000003,11,4,"{""COMPUTE"": 105, ""MEMORY"": 89, ""DATASET"": 32, ""API_CREDITS"": 49}","{""COMPUTE"": 94, ""MEMORY"": 84, ""DATASET"": 32, ""API_CREDITS"": 42}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 180, ""MEMORY"": 156, ""API_CREDITS"": 80, ""DATASET"": 48}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,equal,none,602ca651a80c6f94,a39c1f9836e12e4d,a2,code_review+doc_processing+monitoring,1.0,0.875,False,1,0.646875,11,10,"{""COMPUTE"": 105, ""MEMORY"": 89, ""DATASET"": 8, ""API_CREDITS"": 49}","{""COMPUTE"": 92, ""MEMORY"": 75, ""DATASET"": 8, ""API_CREDITS"": 49}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 232, ""MEMORY"": 187, ""API_CREDITS"": 126, ""DATASET"": 8}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,equal,none,602ca651a80c6f94,a39c1f9836e12e4d,a3,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.49375,13,2,"{""COMPUTE"": 105, ""MEMORY"": 89, ""DATASET"": 31, ""API_CREDITS"": 49}","{""COMPUTE"": 100, ""MEMORY"": 85, ""DATASET"": 24, ""API_CREDITS"": 44}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 248, ""MEMORY"": 208, ""API_CREDITS"": 120, ""DATASET"": 48}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,equal,none,602ca651a80c6f94,a39c1f9836e12e4d,a4,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.4625,10,6,"{""COMPUTE"": 104, ""MEMORY"": 88, ""DATASET"": 31, ""API_CREDITS"": 49}","{""COMPUTE"": 96, ""MEMORY"": 83, ""DATASET"": 24, ""API_CREDITS"": 47}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 238, ""MEMORY"": 199, ""API_CREDITS"": 118, ""DATASET"": 40}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,equal,none,602ca651a80c6f94,a39c1f9836e12e4d,a5,code_review+doc_processing+monitoring+research,1.0,0.875,False,1,0.61875,13,8,"{""COMPUTE"": 104, ""MEMORY"": 88, ""DATASET"": 24, ""API_CREDITS"": 48}","{""COMPUTE"": 102, ""MEMORY"": 87, ""DATASET"": 24, ""API_CREDITS"": 47}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 218, ""MEMORY"": 181, ""API_CREDITS"": 114, ""DATASET"": 24}",False,True,0.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,drf,none,602ca651a80c6f94,a39c1f9836e12e4d,a0,code_review+doc_processing+monitoring+research,1.0,0.75,False,2,0.6,11,9,"{""COMPUTE"": 115, ""MEMORY"": 94, ""DATASET"": 15, ""API_CREDITS"": 57}","{""COMPUTE"": 106, ""MEMORY"": 85, ""DATASET"": 8, ""API_CREDITS"": 56}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 242, ""MEMORY"": 196, ""API_CREDITS"": 128, ""DATASET"": 16}",False,True,0.09266409266409266,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,drf,none,602ca651a80c6f94,a39c1f9836e12e4d,a1,code_review+doc_processing+monitoring+research,1.0,0.5,False,4,0.359375,9,2,"{""COMPUTE"": 76, ""MEMORY"": 68, ""DATASET"": 28, ""API_CREDITS"": 31}","{""COMPUTE"": 70, ""MEMORY"": 63, ""DATASET"": 24, ""API_CREDITS"": 30}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 180, ""MEMORY"": 156, ""API_CREDITS"": 80, ""DATASET"": 48}",False,True,0.26181818181818184,-0.125,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,drf,none,602ca651a80c6f94,a39c1f9836e12e4d,a2,code_review+doc_processing+monitoring,1.0,1.0,False,0,0.71875,13,12,"{""COMPUTE"": 102, ""MEMORY"": 81, ""DATASET"": 8, ""API_CREDITS"": 51}","{""COMPUTE"": 102, ""MEMORY"": 81, ""DATASET"": 8, ""API_CREDITS"": 51}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 232, ""MEMORY"": 187, ""API_CREDITS"": 126, ""DATASET"": 8}",False,True,0.05179282868525897,0.125,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,drf,none,602ca651a80c6f94,a39c1f9836e12e4d,a3,code_review+doc_processing+monitoring+research,1.0,0.625,False,3,0.49375,13,2,"{""COMPUTE"": 106, ""MEMORY"": 91, ""DATASET"": 27, ""API_CREDITS"": 49}","{""COMPUTE"": 100, ""MEMORY"": 85, ""DATASET"": 24, ""API_CREDITS"": 44}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 248, ""MEMORY"": 208, ""API_CREDITS"": 120, ""DATASET"": 48}",False,True,0.025547445255474453,0.0,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,drf,none,602ca651a80c6f94,a39c1f9836e12e4d,a4,code_review+doc_processing+monitoring+research,1.0,0.375,False,5,0.30000000000000004,9,3,"{""COMPUTE"": 110, ""MEMORY"": 94, ""DATASET"": 27, ""API_CREDITS"": 52}","{""COMPUTE"": 102, ""MEMORY"": 87, ""DATASET"": 24, ""API_CREDITS"": 51}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 238, ""MEMORY"": 199, ""API_CREDITS"": 118, ""DATASET"": 40}",False,True,0.06985294117647059,-0.25,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,drf,none,602ca651a80c6f94,a39c1f9836e12e4d,a5,code_review+doc_processing+monitoring+research,1.0,1.0,False,0,0.7125,14,10,"{""COMPUTE"": 112, ""MEMORY"": 95, ""DATASET"": 24, ""API_CREDITS"": 53}","{""COMPUTE"": 112, ""MEMORY"": 95, ""DATASET"": 24, ""API_CREDITS"": 53}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 218, ""MEMORY"": 181, ""API_CREDITS"": 114, ""DATASET"": 24}",False,True,0.07575757575757576,0.125,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,joint_linear,LINEAR,602ca651a80c6f94,a39c1f9836e12e4d,a0,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 150, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 128}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 242, ""MEMORY"": 196, ""API_CREDITS"": 128, ""DATASET"": 16}",True,False,0.8841698841698842,-0.75,"[0.25, 0.25, 0.25, 0.25]"
floor,iid_uniform__zero__moderate,iid_uniform,,zero,moderate,2098221685,joint_linear,LINEAR,602ca651a80c6f94,a39c1f9836e12e4d,a1,code_review+doc_processing+monitoring+research,1.0,0.0,True,8,0.0,0,0,"{""COMPUTE"": 56, ""MEMORY"": 156, ""DATASET"": 48, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 0, ""MEMORY"": 0, ""API_CREDITS"": 0, ""DATASET"": 0}","{""COMPUTE"": 180, ""MEMORY"": 156, ""API_CREDITS"": 80, ""DATASET"": 48}",True,False,0.6581818181818182,-0.625,"[0.25, 0.25, 0.25, 0.25]"
