cell,delta,contention,contention_ratio,seed,task_workload_hash,capacity_by_resource,realized_contention_by_resource,active_resource_count,drift_source_total,changed_identities_total,task_mixture_tv_from_baseline_mean,mand_demand_tv_mean_pairwise,task_entropy_mean,cross_agent_dissimilarity,staleness_error_mean,calibration_error_mean,latent_oracle_error_mean
delta0.00__high,0.0,high,1.9,19063083,f65d4751b4e13447,"{""COMPUTE"": 429, ""MEMORY"": 330, ""API_CREDITS"": 192, ""DATASET"": 36}","{""COMPUTE"": 1.916083916083916, ""MEMORY"": 1.9181818181818182, ""API_CREDITS"": 1.890625, ""DATASET"": 2.0}",4,0,0,0.0,0.11977329657742028,0.1546307805479816,0.09011059816472188,4.232876650978956,7.150763304667355,6.9005870695547395
delta0.00__high,0.0,high,1.9,27327381,fe3b977025c0e7dc,"{""COMPUTE"": 480, ""MEMORY"": 378, ""API_CREDITS"": 239, ""DATASET"": 41}","{""COMPUTE"": 1.8166666666666667, ""MEMORY"": 1.7989417989417988, ""API_CREDITS"": 1.790794979079498, ""DATASET"": 1.5609756097560976}",4,0,0,0.0,0.053448275862068954,0.2095592761056878,0.038710826210826214,7.8223375821078465,9.585206436900569,31.985437293078707
delta0.00__high,0.0,high,1.9,73091972,a11c103769874aca,"{""COMPUTE"": 381, ""MEMORY"": 333, ""API_CREDITS"": 167, ""DATASET"": 113}","{""COMPUTE"": 1.994750656167979, ""MEMORY"": 2.033033033033033, ""API_CREDITS"": 1.910179640718563, ""DATASET"": 2.336283185840708}",4,0,0,0.0,0.17045216806410834,0.2917966325512606,0.12019364859849935,6.37648431043068,20.142012140900007,31.6332755243718
delta0.00__high,0.0,high,1.9,75104030,5d7097c1a631a5d0,"{""COMPUTE"": 274, ""MEMORY"": 250, ""API_CREDITS"": 104, ""DATASET"": 110}","{""COMPUTE"": 1.9781021897810218, ""MEMORY"": 1.936, ""API_CREDITS"": 2.0384615384615383, ""DATASET"": 1.7454545454545454}",4,0,0,0.0,0.19101776729203918,0.275006688705882,0.15040280983848944,7.486968628211108,5.978089962276459,22.338735664923107
delta0.00__high,0.0,high,1.9,75640271,82edf31ea0c2e288,"{""COMPUTE"": 491, ""MEMORY"": 428, ""API_CREDITS"": 225, ""DATASET"": 143}","{""COMPUTE"": 1.9226069246435846, ""MEMORY"": 1.9065420560747663, ""API_CREDITS"": 1.9377777777777778, ""DATASET"": 1.7902097902097902}",4,0,0,0.0,0.09819364916449685,0.2620901233833099,0.06854003295012868,8.976336235963105,13.55575552723237,12.061319069863293
delta0.00__high,0.0,high,1.9,87781505,0617a080e791f545,"{""COMPUTE"": 462, ""MEMORY"": 389, ""API_CREDITS"": 221, ""DATASET"": 98}","{""COMPUTE"": 2.0476190476190474, ""MEMORY"": 2.007712082262211, ""API_CREDITS"": 2.0588235294117645, ""DATASET"": 1.7142857142857142}",4,0,0,0.0,0.07604797268251037,0.3599372841177626,0.04754519735948317,14.6325221843517,20.15523161795844,38.36352231494229
delta0.00__high,0.0,high,1.9,94885586,53e72eab2e93d465,"{""COMPUTE"": 510, ""MEMORY"": 429, ""API_CREDITS"": 237, ""DATASET"": 113}","{""COMPUTE"": 2.011764705882353, ""MEMORY"": 2.0023310023310024, ""API_CREDITS"": 2.0464135021097047, ""DATASET"": 1.9115044247787611}",4,0,0,0.0,0.11103979582998551,0.3841231268985997,0.06672557249405127,17.27738247064164,8.545750747780977,37.84817264624331
delta0.00__high,0.0,high,1.9,101192955,462151e4bb9a0945,"{""COMPUTE"": 474, ""MEMORY"": 410, ""API_CREDITS"": 229, ""DATASET"": 121}","{""COMPUTE"": 1.738396624472574, ""MEMORY"": 1.7585365853658537, ""API_CREDITS"": 1.6899563318777293, ""DATASET"": 1.9173553719008265}",4,0,0,0.0,0.1305870512586822,0.33979609444730197,0.09463362019573106,18.5212894646872,21.24473627527482,40.63608713402645
delta0.00__high,0.0,high,1.9,108416726,60e32056a1a1c0b9,"{""COMPUTE"": 422, ""MEMORY"": 349, ""API_CREDITS"": 198, ""DATASET"": 76}","{""COMPUTE"": 1.9241706161137442, ""MEMORY"": 1.9025787965616046, ""API_CREDITS"": 1.9595959595959596, ""DATASET"": 1.6842105263157894}",4,0,0,0.0,0.11158493700510505,0.25137693588358256,0.07096852921432754,3.8398457823163916,7.385898061530881,10.09207984936072
delta0.00__high,0.0,high,1.9,112626036,787a2bacefa458f7,"{""COMPUTE"": 483, ""MEMORY"": 389, ""API_CREDITS"": 220, ""DATASET"": 73}","{""COMPUTE"": 2.008281573498965, ""MEMORY"": 1.9845758354755785, ""API_CREDITS"": 2.036363636363636, ""DATASET"": 1.7534246575342465}",4,0,0,0.0,0.11942207266843188,0.14485959164246123,0.08248194168628029,11.619588557056389,10.730699668167501,23.785842355386183
delta0.00__high,0.0,high,1.9,129877774,456131f78df7304a,"{""COMPUTE"": 625, ""MEMORY"": 514, ""API_CREDITS"": 308, ""DATASET"": 106}","{""COMPUTE"": 1.9328, ""MEMORY"": 1.933852140077821, ""API_CREDITS"": 1.9285714285714286, ""DATASET"": 1.9622641509433962}",4,0,0,0.0,0.0557574096225412,0.23964892668869653,0.03932077075580365,9.657774721546874,11.470218916829069,15.296994327903482
