cell,regime,concentration,contention,contention_ratio,seed,task_workload_hash,scenario_hash,declaration_source,latent_probs_by_agent,realized_task_counts_by_agent,unique_archetypes_per_agent,frac_agents_all_four_archetypes,task_entropy_mean,task_mixture_tv_mean_pairwise,resource_demand_tv_mean_pairwise,resource_centroid_distance_mean,aggregate_mandatory_demand,capacity_by_resource,realized_contention_by_resource,active_resource_count
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,13163994,1e780f25771657ef,a517666e98ae3e3e,exact_pending_queue,"[[0.026088350404844845, 5.100748689441955e-05, 9.350434294501418e-08, 0.9738605486039179], [0.0025846323689815934, 3.549124171691582e-08, 0.011090720451698606, 0.9863246116880781], [0.9804029891671465, 0.019596903049466045, 8.075804956335572e-16, 1.0778338671875892e-07], [0.33119725757379526, 0.021820755029967595, 0.643849151857128, 0.003132835539109094], [0.00036135628316282816, 0.9740218192533009, 6.090772934445615e-06, 0.025610733690601864], [0.9943114947487781, 0.005688463776125428, 4.147509645446354e-08, 1.948237966052359e-21]]","[{""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 3, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 0}, {""research"": 0, ""code_review"": 7, ""doc_processing"": 0, ""monitoring"": 1}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}]","[1, 1, 1, 2, 2, 1]",0.0,0.12483320384371345,0.8,0.14995441748019067,0.11324651230149513,"{""COMPUTE"": 962, ""MEMORY"": 840, ""API_CREDITS"": 432, ""DATASET"": 288}","{""COMPUTE"": 506, ""MEMORY"": 442, ""API_CREDITS"": 227, ""DATASET"": 152}","{""COMPUTE"": 1.901185770750988, ""MEMORY"": 1.9004524886877827, ""API_CREDITS"": 1.9030837004405285, ""DATASET"": 1.894736842105263}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,47233068,678216927f90ead6,2c782f47dd96ae99,exact_pending_queue,"[[0.00012772367748659994, 0.010669991515802061, 2.836143868874668e-11, 0.9892022847783499], [0.6620266264980431, 0.28378205748692026, 2.9926918078496982e-18, 0.054191316015036586], [5.2614717363260304e-11, 5.011300293250928e-10, 0.9999764953248296, 2.3504121425703284e-05], [5.432754762770395e-10, 0.9995920475382521, 3.020330679166869e-08, 0.0004079217151656547], [1.3796357340203217e-16, 0.42686189477779857, 8.400324947647359e-17, 0.5731381052222012], [5.148013316628593e-06, 0.9999941839559502, 6.59114103607751e-07, 8.916629538229212e-09]]","[{""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 5, ""code_review"": 2, ""doc_processing"": 0, ""monitoring"": 1}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 8, ""monitoring"": 0}, {""research"": 0, ""code_review"": 8, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 0, ""code_review"": 5, ""doc_processing"": 0, ""monitoring"": 3}, {""research"": 0, ""code_review"": 8, ""doc_processing"": 0, ""monitoring"": 0}]","[1, 3, 1, 1, 2, 1]",0.0,0.1877690786350303,0.7583333333333333,0.14421723974253156,0.09155796676062565,"{""COMPUTE"": 672, ""MEMORY"": 565, ""API_CREDITS"": 315, ""DATASET"": 136}","{""COMPUTE"": 354, ""MEMORY"": 297, ""API_CREDITS"": 166, ""DATASET"": 72}","{""COMPUTE"": 1.8983050847457628, ""MEMORY"": 1.9023569023569022, ""API_CREDITS"": 1.8975903614457832, ""DATASET"": 1.8888888888888888}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,51953835,bd44f8a6a73baa95,a0cda3821883ad64,exact_pending_queue,"[[0.18217859382204152, 0.019202273116665242, 0.02770759828556693, 0.7709115347757263], [1.990680218566987e-05, 0.9739941065700854, 0.011331894760023732, 0.01465409186770495], [0.0007780802880467809, 0.14439998252177663, 0.10883280504635785, 0.7459891321438188], [0.001656141116916956, 5.466341028412892e-06, 0.9966977582348967, 0.0016406343071578787], [0.03861702045718707, 0.0010796122290299105, 4.6426190910414565e-05, 0.9602569411228726], [0.9689549357672261, 3.09007631526258e-05, 0.030796105621334183, 0.000218057848287148]]","[{""research"": 3, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 5}, {""research"": 0, ""code_review"": 8, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 0, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 6}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 8, ""monitoring"": 0}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}]","[2, 1, 3, 1, 1, 1]",0.0,0.1679760106153415,0.825,0.15911390980853976,0.10306263957245791,"{""COMPUTE"": 814, ""MEMORY"": 706, ""API_CREDITS"": 350, ""DATASET"": 240}","{""COMPUTE"": 428, ""MEMORY"": 372, ""API_CREDITS"": 184, ""DATASET"": 126}","{""COMPUTE"": 1.9018691588785046, ""MEMORY"": 1.8978494623655915, ""API_CREDITS"": 1.9021739130434783, ""DATASET"": 1.9047619047619047}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,71021215,4970021283759b8f,758bcabd7d6b9fd5,exact_pending_queue,"[[0.05166012098282695, 1.5550738677016647e-08, 0.008868633558224726, 0.9394712299082095], [6.190524900139802e-06, 0.7493144759648116, 0.2506793298378441, 3.672444267108452e-09], [0.37226111593646494, 0.011010186462731074, 3.92844618641784e-09, 0.6167286936723579], [2.4416205486721067e-06, 0.9354185396195989, 0.00011982406155774067, 0.06445919469829484], [1.9035352439404072e-06, 3.686568326370918e-10, 0.996288724052048, 0.0037093720440512694], [8.361389686270454e-06, 1.283174501186614e-06, 0.9994237707489789, 0.0005665846868336288]]","[{""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 0, ""code_review"": 3, ""doc_processing"": 5, ""monitoring"": 0}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 6}, {""research"": 0, ""code_review"": 7, ""doc_processing"": 0, ""monitoring"": 1}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 8, ""monitoring"": 0}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 8, ""monitoring"": 0}]","[1, 2, 2, 2, 1, 1]",0.0,0.19243971421530784,0.7583333333333333,0.15236298086875652,0.1105206578362087,"{""COMPUTE"": 750, ""MEMORY"": 609, ""API_CREDITS"": 319, ""DATASET"": 136}","{""COMPUTE"": 395, ""MEMORY"": 321, ""API_CREDITS"": 168, ""DATASET"": 72}","{""COMPUTE"": 1.8987341772151898, ""MEMORY"": 1.897196261682243, ""API_CREDITS"": 1.8988095238095237, ""DATASET"": 1.8888888888888888}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,79596452,9fce6a29b84da1a2,6010d3d20fcafe4b,exact_pending_queue,"[[6.020650631220886e-06, 5.747991821439903e-06, 0.063062489037159, 0.9369257423203883], [0.00035678466090286777, 0.001977391543399429, 8.071648018921122e-06, 0.9976577521476788], [0.006331429922822773, 7.127250060762354e-13, 0.5092194993652323, 0.4844490707112322], [0.4844688055711699, 0.4362954958945059, 0.0792356985343218, 2.3360431458417215e-15], [0.2609342393062831, 0.0017768137891219253, 0.49966067160154026, 0.23762827530305472], [5.7854995951297554e-08, 5.518515022518511e-09, 0.05047191700328053, 0.9495280196232085]]","[{""research"": 0, ""code_review"": 0, ""doc_processing"": 2, ""monitoring"": 6}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 3}, {""research"": 7, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}]","[2, 1, 2, 2, 3, 1]",0.0,0.30067262593992444,0.6333333333333333,0.14779943651787436,0.10390388764157493,"{""COMPUTE"": 788, ""MEMORY"": 695, ""API_CREDITS"": 305, ""DATASET"": 280}","{""COMPUTE"": 415, ""MEMORY"": 366, ""API_CREDITS"": 161, ""DATASET"": 147}","{""COMPUTE"": 1.8987951807228916, ""MEMORY"": 1.8989071038251366, ""API_CREDITS"": 1.8944099378881987, ""DATASET"": 1.9047619047619047}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,105735450,8432fbbeef0cbe6a,a85ef7c1f2f7d7b6,exact_pending_queue,"[[3.889297909831816e-07, 0.9999310083997729, 6.849258699695264e-05, 1.1008343920173772e-07], [2.1976283798260838e-07, 0.025055610140277004, 0.9749439609835902, 2.091132948641279e-07], [0.9297001873657745, 6.685731272290504e-12, 0.032693633007444996, 0.03760617962009478], [0.6892086861677778, 2.1745647475273894e-06, 0.29519594926783665, 0.015593189999638157], [0.020836216852573298, 0.8941453772830639, 1.400857912056291e-05, 0.08500439728524219], [0.6060150276241854, 0.14998100461116862, 0.00010959404372338615, 0.2438943737209226]]","[{""research"": 0, ""code_review"": 8, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 0, ""code_review"": 1, ""doc_processing"": 7, ""monitoring"": 0}, {""research"": 7, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 1}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 0, ""code_review"": 8, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 7, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 0}]","[1, 2, 2, 1, 1, 2]",0.0,0.1358911107998991,0.7166666666666667,0.0625100400421662,0.04690111214035474,"{""COMPUTE"": 1090, ""MEMORY"": 903, ""API_CREDITS"": 553, ""DATASET"": 184}","{""COMPUTE"": 574, ""MEMORY"": 475, ""API_CREDITS"": 291, ""DATASET"": 97}","{""COMPUTE"": 1.8989547038327526, ""MEMORY"": 1.9010526315789473, ""API_CREDITS"": 1.9003436426116838, ""DATASET"": 1.8969072164948453}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,119160524,2bdf59e09aff08de,266a34f42325dd6d,exact_pending_queue,"[[0.00018639655817829698, 0.00539773438957133, 0.04276322547627647, 0.9516526435759739], [0.9999911606075115, 2.286804185729128e-12, 8.839003223146144e-06, 3.869786296916982e-10], [0.10047568945038249, 0.8933492263993237, 2.107252997915807e-10, 0.006175083939568456], [2.6737251058482785e-07, 1.140464342560563e-05, 0.9879410786249104, 0.012047249359153288], [2.960177125308927e-06, 0.6611277755114338, 0.3388667755575598, 2.4887538811552706e-06], [0.9608494544545026, 0.011501577358584883, 1.1286695160903189e-12, 0.027648968185783825]]","[{""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 0, ""code_review"": 8, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 8, ""monitoring"": 0}, {""research"": 0, ""code_review"": 4, ""doc_processing"": 4, ""monitoring"": 0}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}]","[1, 1, 1, 1, 2, 1]",0.0,0.08333333333333333,0.8666666666666667,0.13714063714063712,0.08699710783044114,"{""COMPUTE"": 992, ""MEMORY"": 824, ""API_CREDITS"": 472, ""DATASET"": 192}","{""COMPUTE"": 522, ""MEMORY"": 434, ""API_CREDITS"": 248, ""DATASET"": 101}","{""COMPUTE"": 1.9003831417624522, ""MEMORY"": 1.8986175115207373, ""API_CREDITS"": 1.903225806451613, ""DATASET"": 1.900990099009901}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,144382842,0264560557189c0c,6dcadc206182cf56,exact_pending_queue,"[[0.9043238183762886, 4.8433938730506924e-05, 0.09470887230265465, 0.0009188753823262926], [0.0893406999694689, 0.06450802809558384, 0.8461512719348421, 1.051518407384176e-13], [0.9160875509166381, 2.476944486015285e-12, 0.0027565136803890367, 0.08115593540049602], [0.0014513086659399264, 7.658732553455366e-11, 0.01815575961673086, 0.980392931640742], [9.676686779189217e-06, 0.8124719241636313, 0.1732248388329663, 0.01429356031662325], [0.4997243477379715, 0.09219415034903936, 0.4029471081338186, 0.0051343937791706075]]","[{""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 8, ""monitoring"": 0}, {""research"": 7, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 1}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 0, ""code_review"": 7, ""doc_processing"": 1, ""monitoring"": 0}, {""research"": 4, ""code_review"": 1, ""doc_processing"": 3, ""monitoring"": 0}]","[1, 1, 2, 1, 2, 3]",0.0,0.20773066238572993,0.8166666666666667,0.1315698280028498,0.07997822434478716,"{""COMPUTE"": 1062, ""MEMORY"": 888, ""API_CREDITS"": 500, ""DATASET"": 224}","{""COMPUTE"": 559, ""MEMORY"": 467, ""API_CREDITS"": 263, ""DATASET"": 118}","{""COMPUTE"": 1.8998211091234347, ""MEMORY"": 1.9014989293361884, ""API_CREDITS"": 1.9011406844106464, ""DATASET"": 1.8983050847457628}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,154011620,ce256c3c302a8aeb,2a36c04b9d7594c1,exact_pending_queue,"[[0.02562368676479284, 1.6052954134068651e-16, 5.558088044581291e-05, 0.9743207323547611], [0.0002555931650316525, 0.37856293653222617, 0.5733275005351997, 0.04785396976754238], [0.9999510134257729, 4.7652463784888224e-05, 1.3333566931703325e-06, 7.537491774680814e-10], [0.0032767988515354876, 1.64814645108616e-07, 0.33304899792209236, 0.6636740384117271], [0.9942251511201784, 0.005772312031423242, 2.303477972062719e-15, 2.536848396090071e-06], [0.156075211280507, 2.9741383279879254e-09, 0.0012504214881568756, 0.8426743642571978]]","[{""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 0, ""code_review"": 2, ""doc_processing"": 6, ""monitoring"": 0}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 1, ""monitoring"": 7}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 6}]","[1, 2, 1, 2, 1, 2]",0.0,0.1805100576764885,0.7333333333333333,0.1479541150311187,0.09944678887842846,"{""COMPUTE"": 954, ""MEMORY"": 839, ""API_CREDITS"": 409, ""DATASET"": 312}","{""COMPUTE"": 502, ""MEMORY"": 442, ""API_CREDITS"": 215, ""DATASET"": 164}","{""COMPUTE"": 1.900398406374502, ""MEMORY"": 1.8981900452488687, ""API_CREDITS"": 1.9023255813953488, ""DATASET"": 1.9024390243902438}",4
dirichlet_0.1__high,dirichlet_0.1,0.1,high,1.9,160641470,692dc4949b43b077,93000dd5baa31d79,exact_pending_queue,"[[0.672748233084381, 0.326811626070578, 0.0004399428004562461, 1.980445846648514e-07], [0.2505881531516013, 5.262736185331783e-10, 5.753937413419731e-15, 0.7494118463221193], [7.118276908566961e-10, 1.098901764829547e-10, 3.463910408323516e-12, 0.9999999991748183], [4.659780818288582e-09, 0.9989871671324092, 0.001010330846991935, 2.4973608180820046e-06], [0.05889294735761842, 0.9335278592804857, 0.00024652578227013754, 0.007332667579625781], [0.92777213019374, 0.04632883551255525, 0.02589898193224115, 5.2361463599711893e-08]]","[{""research"": 5, ""code_review"": 3, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 6}, {""research"": 0, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 8}, {""research"": 0, ""code_review"": 8, ""doc_processing"": 0, ""monitoring"": 0}, {""research"": 2, ""code_review"": 5, ""doc_processing"": 0, ""monitoring"": 1}, {""research"": 8, ""code_review"": 0, ""doc_processing"": 0, ""monitoring"": 0}]","[2, 2, 1, 1, 3, 1]",0.0,0.2553755890066247,0.7166666666666667,0.13321758149342944,0.08878999662480051,"{""COMPUTE"": 858, ""MEMORY"": 756, ""API_CREDITS"": 400, ""DATASET"": 256}","{""COMPUTE"": 452, ""MEMORY"": 398, ""API_CREDITS"": 211, ""DATASET"": 135}","{""COMPUTE"": 1.8982300884955752, ""MEMORY"": 1.899497487437186, ""API_CREDITS"": 1.8957345971563981, ""DATASET"": 1.8962962962962964}",4
