cell,composition,contention,seed,policy,utility_family,workload_hash,scenario_hash,agent,archetype,priority,completion,mandatory_failures,optional_refinement_rate,quality,backend_calls,blocked_calls,allocated,charged,unused,exhausted
homogeneous__moderate,homogeneous,moderate,257555101,equal,none,bb6f1a259c5f859d,4aa79175118288f8,a0,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 127, ""MEMORY"": 97, ""DATASET"": 7, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 9, ""MEMORY"": 9, ""DATASET"": 7, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,equal,none,bb6f1a259c5f859d,4aa79175118288f8,a1,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,equal,none,bb6f1a259c5f859d,4aa79175118288f8,a2,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,equal,none,bb6f1a259c5f859d,4aa79175118288f8,a3,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,equal,none,bb6f1a259c5f859d,4aa79175118288f8,a4,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,equal,none,bb6f1a259c5f859d,4aa79175118288f8,a5,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 60}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 3}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,drf,none,bb6f1a259c5f859d,4aa79175118288f8,a0,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 127, ""MEMORY"": 97, ""DATASET"": 7, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 9, ""MEMORY"": 9, ""DATASET"": 7, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,drf,none,bb6f1a259c5f859d,4aa79175118288f8,a1,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,drf,none,bb6f1a259c5f859d,4aa79175118288f8,a2,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
homogeneous__moderate,homogeneous,moderate,257555101,drf,none,bb6f1a259c5f859d,4aa79175118288f8,a3,code_review+doc_processing+research,1.0,0.75,2,0.125,0.575,15,7,"{""COMPUTE"": 126, ""MEMORY"": 96, ""DATASET"": 6, ""API_CREDITS"": 61}","{""COMPUTE"": 118, ""MEMORY"": 88, ""DATASET"": 0, ""API_CREDITS"": 57}","{""COMPUTE"": 8, ""MEMORY"": 8, ""DATASET"": 6, ""API_CREDITS"": 4}","{""COMPUTE"": 8, ""DATASET"": 1}"
