cell,regime,contention,seed,arm,agent,archetype,queue_order_completion,best_subset_completion,best_subset_count,mandatory_failures,allocated,charged,unused,min_bound,upper_bound
dirichlet_0.1__high,dirichlet_0.1,high,13163994,central_joint_leontief,a0,monitoring,0.625,0.625,5,3,"{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 6}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 5}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,central_joint_leontief,a1,monitoring,0.625,0.625,5,3,"{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 6}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 5}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,central_joint_leontief,a2,research,0.375,0.375,3,5,"{""COMPUTE"": 103, ""MEMORY"": 88, ""DATASET"": 24, ""API_CREDITS"": 52}","{""COMPUTE"": 102, ""MEMORY"": 87, ""DATASET"": 24, ""API_CREDITS"": 51}","{""COMPUTE"": 1, ""MEMORY"": 1, ""DATASET"": 0, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,central_joint_leontief,a3,doc_processing+research,0.625,0.625,5,3,"{""COMPUTE"": 142, ""MEMORY"": 111, ""DATASET"": 16, ""API_CREDITS"": 68}","{""COMPUTE"": 134, ""MEMORY"": 106, ""DATASET"": 16, ""API_CREDITS"": 64}","{""COMPUTE"": 8, ""MEMORY"": 5, ""DATASET"": 0, ""API_CREDITS"": 4}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 286, ""MEMORY"": 225, ""API_CREDITS"": 138, ""DATASET"": 24}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,central_joint_leontief,a4,code_review+monitoring,1.0,1.0,8,0,"{""COMPUTE"": 78, ""MEMORY"": 65, ""DATASET"": 8, ""API_CREDITS"": 43}","{""COMPUTE"": 78, ""MEMORY"": 65, ""DATASET"": 8, ""API_CREDITS"": 43}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 232, ""MEMORY"": 191, ""API_CREDITS"": 134, ""DATASET"": 8}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,central_joint_leontief,a5,research,0.375,0.375,3,5,"{""COMPUTE"": 103, ""MEMORY"": 88, ""DATASET"": 24, ""API_CREDITS"": 52}","{""COMPUTE"": 102, ""MEMORY"": 87, ""DATASET"": 24, ""API_CREDITS"": 51}","{""COMPUTE"": 1, ""MEMORY"": 1, ""DATASET"": 0, ""API_CREDITS"": 1}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,distributed_price_leontief,a0,monitoring,0.625,0.625,5,3,"{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 5}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 5}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,distributed_price_leontief,a1,monitoring,0.625,0.625,5,3,"{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 5}","{""COMPUTE"": 40, ""MEMORY"": 45, ""DATASET"": 40, ""API_CREDITS"": 5}","{""COMPUTE"": 0, ""MEMORY"": 0, ""DATASET"": 0, ""API_CREDITS"": 0}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 64, ""MEMORY"": 72, ""API_CREDITS"": 8, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,distributed_price_leontief,a2,research,0.375,0.375,3,5,"{""COMPUTE"": 103, ""MEMORY"": 88, ""DATASET"": 24, ""API_CREDITS"": 53}","{""COMPUTE"": 102, ""MEMORY"": 87, ""DATASET"": 24, ""API_CREDITS"": 51}","{""COMPUTE"": 1, ""MEMORY"": 1, ""DATASET"": 0, ""API_CREDITS"": 2}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 336, ""MEMORY"": 280, ""API_CREDITS"": 168, ""DATASET"": 64}"
dirichlet_0.1__high,dirichlet_0.1,high,13163994,distributed_price_leontief,a3,doc_processing+research,0.625,0.625,5,3,"{""COMPUTE"": 142, ""MEMORY"": 111, ""DATASET"": 16, ""API_CREDITS"": 68}","{""COMPUTE"": 134, ""MEMORY"": 106, ""DATASET"": 16, ""API_CREDITS"": 64}","{""COMPUTE"": 8, ""MEMORY"": 5, ""DATASET"": 0, ""API_CREDITS"": 4}","{""COMPUTE"": 1, ""MEMORY"": 1, ""API_CREDITS"": 1, ""DATASET"": 1}","{""COMPUTE"": 286, ""MEMORY"": 225, ""API_CREDITS"": 138, ""DATASET"": 24}"
